Date,Dubai Crude Oil (Platts) Financial Futures - (DBLc1)
01/02/2020,65.44
01/03/2020,67.83
01/06/2020,68.28
01/07/2020,67.92
01/08/2020,66.00
01/09/2020,66.15
01/10/2020,66.07
01/13/2020,65.72
01/14/2020,65.84
01/15/2020,65.49
01/16/2020,65.74
01/17/2020,65.75
01/21/2020,65.59
01/22/2020,65.26
01/23/2020,64.94
01/24/2020,64.64
01/27/2020,64.37
01/28/2020,64.34
01/29/2020,64.37
01/30/2020,64.17
01/31/2020,64.29
02/03/2020,53.50
02/04/2020,53.11
02/05/2020,54.53
02/06/2020,54.36
02/07/2020,54.08
02/10/2020,53.00
02/11/2020,53.49
02/12/2020,54.59
02/13/2020,54.96
02/14/2020,55.34
02/18/2020,55.15
02/19/2020,55.65
02/20/2020,55.54
02/21/2020,55.27
02/24/2020,54.68
02/25/2020,54.54
02/26/2020,54.33
02/27/2020,54.25
02/28/2020,54.22
03/02/2020,50.95
03/03/2020,50.93
03/04/2020,50.48
03/05/2020,49.72
03/06/2020,45.71
03/09/2020,36.26
03/10/2020,38.14
03/11/2020,37.62
03/12/2020,36.31
03/13/2020,36.96
03/16/2020,35.45
03/17/2020,35.27
03/18/2020,33.61
03/19/2020,34.59
03/20/2020,34.05
03/23/2020,33.96
03/24/2020,33.99
03/25/2020,34.15
03/26/2020,34.07
03/27/2020,33.91
03/30/2020,33.84
03/31/2020,33.70
04/01/2020,22.46
04/02/2020,26.16
04/03/2020,29.39
04/06/2020,27.45
04/07/2020,26.00
04/08/2020,26.16
04/09/2020,23.26
04/13/2020,24.74
04/14/2020,21.96
04/15/2020,21.46
04/16/2020,21.71
04/17/2020,22.23
04/20/2020,21.47
04/21/2020,19.07
04/22/2020,20.00
04/23/2020,20.45
04/24/2020,20.45
04/27/2020,20.37
04/28/2020,20.41
04/29/2020,20.38
04/30/2020,20.39
05/01/2020,25.30
05/04/2020,26.20
05/05/2020,28.94
05/06/2020,27.35
05/07/2020,27.14
05/08/2020,28.54
05/11/2020,27.27
05/12/2020,26.81
05/13/2020,26.68
05/14/2020,29.20
05/15/2020,29.80
05/18/2020,30.55
05/19/2020,30.42
05/20/2020,30.57
05/21/2020,30.62
05/22/2020,30.34
05/26/2020,30.59
05/27/2020,30.43
05/28/2020,30.51
05/29/2020,30.47
06/01/2020,38.32
06/02/2020,39.17
06/03/2020,39.26
